V1,V2
56,152
56,155
56,160
56,171
56,172
56,176
56,187
56,189
56,192
56,212
56,218
56,258
56,261
56,269
57,107
57,121
57,131
57,147
57,174
57,177
57,197
57,246
58,84
58,85
58,87
58,90
58,104
58,144
58,161
58,170
58,175
58,197
58,218
58,219
58,245
59,83
59,84
59,85
59,87
59,90
59,96
59,106
59,147
60,64
60,84
60,85
60,87
60,119
60,128
60,147
60,174
60,210
60,246
61,70
61,86
61,88
61,110
61,136
61,144
61,151
61,178
62,184
62,266
62,268
63,85
63,90
63,104
63,107
63,112
63,123
63,126
63,131
63,147
63,161
63,232
63,245
64,85
64,88
64,109
64,119
64,128
64,144
64,151
64,162
64,210
64,232
64,235
64,246
64,255
65,78
65,85
65,101
65,105
65,119
65,147
65,179
65,181
65,231
66,71
66,130
66,132
66,138
66,144
66,147
66,176
66,180
66,183
66,197
66,198
66,221
67,81
67,85
67,114
67,115
67,142
67,147
67,160
67,189
67,214
67,226
68,153
68,213
69,98
70,86
70,88
70,110
70,136
70,144
70,151
70,178
71,85
71,87
71,112
71,131
71,143
71,146
71,155
71,182
71,218
72,131
72,141
72,177
72,209
72,247
72,252
73,188
74,78
74,83
74,116
74,153
74,246
75,164
75,165
75,168
75,171
75,172
76,82
76,99
76,105
76,116
76,123
76,135
76,139
76,147
76,152
76,153
76,166
76,167
76,173
76,182
76,183
76,190
76,198
76,216
76,220
76,267
76,272
77,111
77,124
77,147
77,201
77,257
78,85
78,90
78,105
78,113
78,116
78,119
78,125
78,147
78,152
78,153
78,179
78,180
78,181
78,189
78,246
79,98
79,109
81,85
81,114
81,130
81,141
81,147
81,152
81,187
81,192
81,208
81,214
81,226
82,88
82,114
82,116
82,134
82,139
82,197
82,214
82,226
82,242
82,266
83,84
83,85
83,87
83,90
83,126
83,147
84,85
84,86
84,87
84,90
84,120
84,144
84,147
84,168
84,170
84,174
84,175
84,197
84,205
84,224
84,226
84,238
84,239
85,87
85,88
85,90
85,92
85,93
85,99
85,101
85,102
85,104
85,105
85,108
85,112
85,113
85,115
85,116
85,117
85,119
85,120
85,125
85,126
85,128
85,139
85,142
85,144
85,147
85,152
85,160
85,161
85,162
85,169
85,170
85,174
85,175
85,179
85,181
85,182
85,187
85,189
85,192
85,197
85,205
85,210
85,226
85,227
85,231
85,235
85,239
85,246
86,87
86,88
86,110
86,132
86,136
86,138
86,141
86,144
86,151
86,174
86,175
86,178
86,202
86,207
86,221
86,226
86,232
86,238
86,257
87,90
87,99
87,112
87,120
87,128
87,144
87,147
87,153
87,168
87,170
87,174
87,175
87,182
87,192
87,197
87,205
87,210
87,213
87,224
87,226
87,227
87,238
87,239
87,246
88,110
88,116
88,131
